category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Non-migrants,6845,6510,13100,10565,6725,9010,6930,8780,10820,29800,16500,14755,20810,9490,8140,7170,11120,13840,9175,7775,7435,7780,6180,7330,5385
Migrants,2735,2245,5675,2675,1600,2545,2050,2575,2580,13175,6050,4320,8295,1735,3025,2455,5205,6780,2205,2385,2675,3015,2030,2965,1850
Internal migrants,1430,1390,3925,1655,765,1595,985,1185,1605,8330,3390,2370,5175,1120,1445,1220,2640,3215,1330,1155,1240,1445,1035,1400,1115
Intraprovincial migrants,1285,1230,3525,1330,625,1350,830,955,1180,6645,2415,1785,4020,900,1165,985,2155,2630,1050,760,960,1300,875,1105,1020
Interprovincial migrants,145,160,405,320,135,240,160,235,425,1685,975,585,1155,225,275,245,485,590,275,395,280,145,160,295,90
External migrants,1305,855,1745,1020,835,950,1060,1385,980,4845,2660,1945,3120,615,1580,1235,2570,3560,875,1235,1435,1565,995,1570,740
Total - Mobility status 5 years ago - 25% sample data,109365,112100,133155,99945,109630,102085,105420,108990,100065,130985,99255,109575,113215,99205,96410,89735,108215,112600,102460,104485,106390,99685,90260,97560,97120
Non-movers,76055,81020,78645,64060,79165,68045,72590,73785,64270,45275,50260,60820,50380,68105,64380,59425,63265,61285,69665,71600,71635,66830,64470,65955,73215
Movers,33305,31085,54505,35890,30465,34045,32825,35205,35795,85710,48990,48750,62835,31100,32025,30310,44945,51315,32795,32885,34755,32855,25785,31605,23905
Non-migrants,16890,19020,29180,22465,19815,19315,18125,21350,22465,36140,24505,26970,28775,21555,18275,16230,20275,23100,21175,20780,19775,18295,14865,17070,14380
Migrants,16415,12065,25325,13425,10650,14730,14705,13855,13330,49570,24485,21785,34060,9545,13755,14085,24675,28220,11620,12105,14985,14560,10920,14530,9525
Internal migrants,5330,7105,15025,7745,3875,6220,4280,5625,7425,30605,13150,9890,17610,5435,5465,4650,8850,10855,5320,3795,4380,5545,4420,4120,4015
Intraprovincial migrants,4450,6285,12765,5875,3125,5180,3565,4465,5430,23330,8975,7660,12860,4210,4280,3690,6955,8655,4040,2725,3500,4640,3690,3245,3440
Interprovincial migrants,880,815,2260,1870,750,1035,715,1165,1995,7275,4170,2230,4745,1225,1190,960,1890,2205,1285,1070,880,910,725,875,575
External migrants,11090,4960,10305,5680,6770,8510,10425,8230,5905,18960,11335,11895,16450,4110,8290,9435,15825,17360,6300,8310,10600,9010,6505,10410,5505
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",96620,99900,121460,89700,97205,91800,92430,95710,91630,126130,93395,100635,107625,88370,83725,79750,98425,103695,89815,91970,94595,90390,80925,85580,86445
"No certificate, diploma or degree",21870,12955,12970,9500,25160,14700,25665,12045,18865,6555,7245,8230,8330,12495,8135,11670,9570,7865,11445,15480,16805,16795,17555,14775,12825
High (secondary) school diploma or equivalency certificate,28780,25030,25415,17360,29000,23755,28780,20870,19875,17105,16045,17585,20970,18125,16200,20155,20050,20435,20145,25460,27495,24195,23610,24090,25060
"Postsecondary certificate, diploma or degree",45965,61920,83080,62845,43045,53345,37990,62790,52895,102470,70110,74825,78330,57750,59390,47925,68805,75390,58225,51030,50290,49400,39765,46715,48560
Bachelor’s degree or higher,22120,37540,54175,45405,17910,30650,16310,45065,34340,82560,57405,57100,58605,40500,46220,29065,48980,57030,38480,28980,27210,28905,21660,25115,25270
Total - Visible minority for the population in private households - 25% sample data,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
Total visible minority population,90130,37210,48675,30445,67120,56405,86975,42265,35215,70400,38445,39925,67145,35815,47415,59525,83870,83210,39225,67555,83025,85350,86675,78525,76755
South Asian,32480,7885,10850,5385,6635,4430,15295,4525,4820,17365,6215,7170,16095,6010,13405,17285,15565,8865,12295,27245,31780,15565,25190,37150,35950
Chinese,1420,3630,5570,4070,2175,3550,2715,5525,5520,19660,14725,5745,14405,11670,12420,7235,32920,29655,5635,5640,8890,44455,39710,4810,4485
